     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
      57            0.44287120          9.87705762         -9.43418642        141.49486397         19.79895026       2969.43926725          0.00000000
      58            0.57917054          9.68013216         -9.10096162        153.03067186         19.40420543       3150.62979819          0.00000000
      59            0.44376256          9.19080439         -8.74704184        165.87042895         18.42332868       3311.29901704          0.00000000
      60            0.77898275          9.19620634         -8.41722359        178.12509557         18.43415709       3556.81558196          0.00000000
      61            0.99636159          9.13749130         -8.14112971        188.85691670         18.31646049       3817.26058953          0.00000000
      62            1.00729391          8.96504419         -7.95775028        197.03589633         17.97078348       4082.35435034          0.00000000
      63            1.02809557          8.92954394         -7.90144836        201.87214575         17.89962183       4381.82442488          0.00000000
      64            0.88315403          8.87627861         -7.99312458        202.95068876         17.79284939       4691.69520819          0.00000000
      65            0.98511849          9.22530557         -8.24018708        200.05942092         18.49248765       5062.53168593          0.00000000
      66            0.71580724          9.35350366         -8.63769643        193.20332176         18.74946576       5406.00569051          0.00000000
      67            0.52381694          9.68215662         -9.15833968        182.69906890         19.40826354       5766.42120007          0.00000000
      68            0.44725746         10.21777398         -9.77051652        168.95079650         20.48192959       6136.85186528          0.00000000
      69            0.30315798         10.73858238        -10.43542439        152.52205188         21.52591049       6478.77015385          0.00000000
      70            0.50385621         11.60858679        -11.10473058        134.34114209         23.26986853       6832.44742726          0.00000000
      71            0.13819788         11.87801783        -11.73981995        115.39826946         23.80995365       7060.27238072          0.00000000
      72           -0.16953620         12.11479503        -12.28433123         97.89618834         24.28458285       7230.00067606          0.00000000
      73            0.17725186         12.88727519        -12.71002334         84.20829165         25.83304971       7415.69425307          0.00000000
      74           -0.00519401         12.99790716        -13.00310117         77.08863169         26.05481584       7450.86536314          0.00000000
      75           -0.01142888         13.13346036        -13.14488924         78.65329438         26.32653754       7430.32197653          0.00000000
      76            0.16799225         13.30761431        -13.13962206         87.59169905         26.67563599       7358.78422316          0.00000000
      77           -0.03646903         12.96265391        -12.99912295        100.80844233         25.98414931       7164.06258018          0.00000000
      78            0.17816631         12.92743360        -12.74926729        115.16354920         25.91354881       6970.81840280          0.00000000
      79            0.08243829         12.49828631        -12.41584802        128.93386400         25.05330620       6689.55826615          0.00000000
      80            0.13324499         12.16927696        -12.03603197        140.71240433         24.39379403       6401.94827604          0.00000000
      81            0.41478769         12.05576234        -11.64097465        149.82241185         24.16624951       6135.34065550          0.00000000
      82            0.42147983         11.67634810        -11.25486828        155.92538043         23.40569875       5832.67270201          0.00000000
      83            0.60467397         11.51029640        -10.90562243        158.71917825         23.07284158       5573.98240592          0.00000000
      84            0.70901096         11.31449389        -10.60548293        158.24250536         22.68034776       5334.87765269          0.00000000
      85            0.83186775         11.19390924        -10.36204148        154.68840243         22.43863108       5139.45521210          0.00000000
      86            0.86231195         11.03502818        -10.17271623        148.46771175         22.12014776       4979.43683695          0.00000000
      87            0.61315266         10.64175605        -10.02860340        140.24688621         21.33181832       4833.94392180          0.00000000
      88            0.44022880         10.35770983         -9.91748103        131.00911443         20.76243650       4755.69062728          0.00000000
      89            0.27116821         10.09264773         -9.82147952        121.87761141         20.23110910       4734.14506551          0.00000000
      90            0.32959877         10.05248188         -9.72288311        114.22690215         20.15059507       4798.11349058          0.00000000
      91            0.10280493          9.70643091         -9.60362598        109.46138226         19.45692230       4873.85747123          0.00000000
      92           -0.00858531          9.44591753         -9.45450284        108.75390075         18.93471299       5011.91037419          0.00000000
      93            0.09955543          9.36966757         -9.27011214        112.34267189         18.78186696       5224.26362569          0.00000000
      94            0.29629500          9.34461205         -9.04831705        119.69073345         18.73164219       5491.65906126          0.00000000
      95            0.19852009          8.99178412         -8.79326403        129.71001441         18.02438473       5759.02221140          0.00000000
      96            0.14432338          8.66706523         -8.52274186        140.85961268         17.37347295       6066.17254974          0.00000000
      97            0.14160376          8.39697907         -8.25537530        151.89620265         16.83207461       6413.25591502          0.00000000
      98           -0.04890786          7.96269491         -8.01160277        161.86003145         15.96153494       6765.90723925          0.00000000
      99           -0.20631478          7.61040998         -7.81672476        169.87812560         15.25536595       7147.37704937          0.00000000
     100           -0.15997160          7.53002532         -7.68999692        175.45477998         15.09423174       7578.39562538          0.00000000
     101           -0.23133665          7.41230089         -7.64363754        178.36156020         14.85824850       8014.67739635          0.00000000
     102           -0.14295764          7.54419270         -7.68715034        178.40187538         15.12263082       8483.53339085          0.00000000
     103           -0.14122286          7.68089402         -7.82211688        175.58228544         15.39665399       8946.52857560          0.00000000
     104           -0.13667066          7.90611126         -8.04278192        170.04107064         15.84811080       9402.15079083          0.00000000
     105           -0.10570975          8.23134182         -8.33705157        162.06222568         16.50004824       9841.18585556          0.00000000
     106           -0.17713588          8.51043419         -8.68757007        152.07113591         17.05949986      10233.02321692          0.00000000
     107           -0.23272086          8.83837025         -9.07109111        140.71759474         17.71686059      10578.18047172          0.00000000
     108           -0.40943342          9.05566332         -9.46509673        128.75656290         18.15243308      10845.47828438          0.00000000
     109           -0.46895444          9.37657447         -9.84552891        117.18679372         18.79571210      11055.44706321          0.00000000
     110           -0.73184584          9.46375483        -10.19560067        107.00705095         18.97046856      11156.84678602          0.00000000
     111           -1.01056005          9.48720053        -10.49776059         99.38717684         19.01746640      11169.21290168          0.00000000
