     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum            CV_value           Inst_Bias            Tot_Bias
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs                                  kJ/mol              kJ/mol
      41           44.15649729         15.17369570         28.98280158        280.52575659         86.90362712       7812.69562380          0.00000000          1.12937604          0.00000000          0.00000000
      42           44.16705022         15.41645432         28.75059590        272.53399481         88.29396768       7956.31328191          0.00000000          1.12965919          0.00000000          0.00000000
      43           44.17650602         15.66681592         28.50969011        264.28200702         89.72785241       8097.57378667          0.00000000          1.12994379          0.00000000          0.00000000
      44           44.18486436         15.91904964         28.26581472        255.88098431         91.17245929       8235.21822991          0.00000000          1.13022948          0.00000000          0.00000000
      45           44.19214363         16.16741345         28.02473018        247.45633631         92.59490221       8367.99063083          0.00000000          1.13051592          0.00000000          0.00000000
      46           44.19838083         16.40622858         27.79215225        239.14876450         93.96265741       8494.65742932          0.00000000          1.13080273          0.00000000          0.00000000
      47           44.20363114         16.62995338         27.57367775        231.11483318         95.24398644       8614.02680765          0.00000000          1.13108955          0.00000000          0.00000000
      48           44.20796725         16.83325560         27.37471165        223.52658717         96.40835012       8724.96759127          0.00000000          1.13137596          0.00000000          0.00000000
      49           44.21147860         17.01108222         27.20039638        216.56960591         97.42680852       8826.42748380          0.00000000          1.13166157          0.00000000          0.00000000
      50           44.21427027         17.15872599         27.05554428        210.43877668         98.27240206       8917.45039866          0.00000000          1.13194597          0.00000000          0.00000000
      51           44.21646172         17.27188783         26.94457389        205.33112740         98.92050880       8997.19266002          0.00000000          1.13222873          0.00000000          0.00000000
      52           44.21818540         17.34673431         26.87145110        201.43542655         99.34917368       9064.93785884          0.00000000          1.13250942          0.00000000          0.00000000
      53           44.21958511         17.37994947         26.83963564        198.91903466         99.53940541       9120.11016587          0.00000000          1.13278760          0.00000000          0.00000000
      54           44.22081426         17.36878041         26.85203385        197.91359274         99.47543732       9162.28592136          0.00000000          1.13306284          0.00000000          0.00000000
      55           44.22203400         17.31107590         26.91095810        198.50216526         99.14494892       9191.20334221          0.00000000          1.13333468          0.00000000          0.00000000
      56           44.22341125         17.20531778         27.01809347        200.71080324         98.53924516       9206.77020980          0.00000000          1.13360268          0.00000000          0.00000000
      57           44.22511662         17.05064440         27.17447222        204.50670228         97.65339123       9209.06942612          0.00000000          1.13386638          0.00000000          0.00000000
      58           44.22732232         16.84686611         27.38045620        209.80335756         96.48630099       9198.36235170          0.00000000          1.13412534          0.00000000          0.00000000
      59           44.23019999         16.59447241         27.63572759        216.47117300         95.04077783       9175.08986610          0.00000000          1.13437911          0.00000000          0.00000000
      60           44.23391860         16.29463059         27.93928801        224.35078681         93.32350727       9139.87111928          0.00000000          1.13462723          0.00000000          0.00000000
