istep  E_tot                                     E_kin                                    E_pot                F_norm                Temp                   Pressure              COM_momentum  CV_value     Inst_Bias     Tot_Bias
none   kJ/mol                                    kJ/mol                                   kJ/mol               kJ/(Åmol)             K                      Pa                    gÅ/fs         kJ/mol       kJ/mol
40     101.46629364                              51.46455522                              50.00173843          426.40851164          187.56858895           -2610929.83685889     0.00000000    0.56270523   0.00000000    0.00000000
41     101.52519783                              51.42655733                              50.09864051          422.41287425          187.43010120           -2614488.78787632     0.00000000    0.56344311   0.00000000    0.00000000
42     101.58337285                              51.41884622                              50.16452663          418.12650385          187.40199717           -2614148.90141925     0.00000000    0.56417502   0.00000000    0.00000000
43     101.64077042                              51.43511911                              50.20565131          413.63774773          187.46130562           -2610061.33988061     0.00000000    0.56490048   0.00000000    0.00000000
44     101.69736542                              51.46888537                              50.22848005          409.04009355          187.58437070           -2602388.56789805     0.00000000    0.56561900   0.00000000    0.00000000
45     101.75315617                              51.51355819                              50.23959797          404.43146255          187.74718603           -2591302.71950458     0.00000000    0.56633007   0.00000000    0.00000000
46     101.80816438                              51.56254724                              50.24561713          399.91323731          187.92573236           -2576983.92854152     0.00000000    0.56703316   0.00000000    0.00000000
47     101.86243488                              51.60935117                              50.25308371          395.58898378          188.09631473           -2559618.64153236     0.00000000    0.56772773   0.00000000    0.00000000
48     101.91603497                              51.64764877                              50.26838620          391.56283854          188.23589481           -2539397.93226343     0.00000000    0.56841324   0.00000000    0.00000000
49     101.96905357                              51.67138772                              50.29766585          387.93755233          188.32241419           -2516515.83714077     0.00000000    0.56908912   0.00000000    0.00000000
50     102.02160004                              51.67486971                              50.34673033          384.81221109          188.33510471           -2491167.72999031     0.00000000    0.56975480   0.00000000    0.00000000
51     102.07380277                              51.65283090                              50.42097187          382.27969567          188.25478168           -2463548.75434785     0.00000000    0.57040970   0.00000000    0.00000000
52     102.12580754                              51.60051669                              50.52529085          380.42398609          188.06411645           -2433852.33045043     0.00000000    0.57105325   0.00000000    0.00000000
53     102.17777563                              51.51374992                              50.66402571          379.31746152          187.74788480           -2402268.75310179     0.00000000    0.57168485   0.00000000    0.00000000
54     102.22988174                              51.38899144                              50.84089030          379.01838089          187.29318794           -2368983.89535337     0.00000000    0.57230390   0.00000000    0.00000000
55     102.28231178                              51.22339254                              51.05891924          379.56874447          186.68964339           -2334178.03153083     0.00000000    0.57290981   0.00000000    0.00000000
56     102.33526048                              51.01483834                              51.32042213          380.99272381          185.92954323           -2298024.79156246     0.00000000    0.57350198   0.00000000    0.00000000
57     102.38892884                              50.76198170                              51.62694714          383.29580499          185.00797762           -2260690.25684527     0.00000000    0.57407981   0.00000000    0.00000000
58     102.44352162                              50.46426713                              51.97925449          386.46472252          183.92292206           -2222332.20603987     0.00000000    0.57464269   0.00000000    0.00000000
59     102.49924468                              50.12194447                              52.37730021          390.46818000          182.67528711           -2183099.51723473     0.00000000    0.57519004   0.00000000    0.00000000
60     102.55630230                              49.73607205                              52.82023025          395.25827386          181.26892995           -2143131.73088907     0.00000000    0.57572125   0.00000000    0.00000000
61     102.61489461                              49.30850930                              53.30638531          400.77247316          179.71062752           -2102558.77587412     0.00000000    0.57623573   0.00000000    0.00000000
62     102.67521492                              48.84189890                              53.83331602          406.93597134          178.01001137           -2061500.85881144     0.00000000    0.57673290   0.00000000    0.00000000
63     102.73744729                              48.33963864                              54.39780865          413.66421771          176.17946510           -2020068.51476540     0.00000000    0.57721219   0.00000000    0.00000000
64     102.80176407                              47.80584328                              54.99592079          420.86545395          174.23398551           -1978362.81531793     0.00000000    0.57767303   0.00000000    0.00000000
65     102.86832368                              47.24529699                              55.62302668          428.44311555          172.19100901           -1936475.72774814     0.00000000    0.57811485   0.00000000    0.00000000
66     102.93726849                              46.66339675                              56.27387174          436.29800076          170.07020553           -1894490.61744513     0.00000000    0.57853711   0.00000000    0.00000000
67     103.00872296                              46.06608751                              56.94263544          444.33015160          167.89324220           -1852482.88338404     0.00000000    0.57893927   0.00000000    0.00000000
68     103.08279192                              45.45978996                              57.62300197          452.44042759          165.68351986           -1810520.71495837     0.00000000    0.57932081   0.00000000    0.00000000
69     103.15955918                              44.85132152                              58.30823765          460.53178002          163.46588551           -1768665.95674560     0.00000000    0.57968124   0.00000000    0.00000000
70     103.23908629                              44.24781191                              58.99127438          468.51025247          161.26632415           -1726975.06632873     0.00000000    0.58002004   0.00000000    0.00000000
71     103.32141167                              43.65661392                              59.66479776          476.28574314          159.11163394           -1685500.14900972     0.00000000    0.58033676   0.00000000    0.00000000
72     103.40655000                              43.08521080                              60.32133919          483.77256806          157.02908848           -1644290.05217351     0.00000000    0.58063093   0.00000000    0.00000000
73     103.49449181                              42.54112126                              60.95337055          490.88986352          155.04609054           -1603391.50119681     0.00000000    0.58090212   0.00000000    0.00000000
74     103.58520355                              42.03180322                              61.55340033          497.56186248          153.18982138           -1562850.25816819     0.00000000    0.58114991   0.00000000    0.00000000
75     103.67862774                              41.56455762                              62.11407012          503.71807529          151.48689015           -1522712.28429544     0.00000000    0.58137391   0.00000000    0.00000000
